query;doc_id;is_relevant
orman yangınları;101635;1
orman yangınları;97722;1
orman yangınları;99147;1
orman yangınları;100397;1
orman yangınları;88378;1
orman yangınları;66261;0
orman yangınları;94403;0
orman yangınları;87263;0
orman yangınları;19824;0
orman yangınları;64086;0
abd'de orman yangını;88378;1
abd'de orman yangını;96433;1
abd'de orman yangını;61795;0
abd'de orman yangını;15968;0
abd'de orman yangını;100258;1
abd'de orman yangını;87187;1
abd'de orman yangını;7311;0
abd'de orman yangını;87826;1
abd'de orman yangını;100581;1
abd'de orman yangını;9189;0
enflasyon oranı açıklandı;25993;1
enflasyon oranı açıklandı;25298;1
enflasyon oranı açıklandı;26253;1
enflasyon oranı açıklandı;26263;1
enflasyon oranı açıklandı;27048;1
enflasyon oranı açıklandı;40100;0
enflasyon oranı açıklandı;43322;0
enflasyon oranı açıklandı;42219;0
enflasyon oranı açıklandı;41038;0
enflasyon oranı açıklandı;40102;0
deprem oldu mu;22108;1
deprem oldu mu;34056;1
deprem oldu mu;34251;1
deprem oldu mu;75349;1
deprem oldu mu;64491;1
deprem oldu mu;57840;1
deprem oldu mu;33219;0
deprem oldu mu;45707;0
deprem oldu mu;37504;0
deprem oldu mu;33545;1
şampiyon kim oldu;29878;1
şampiyon kim oldu;72955;1
şampiyon kim oldu;35817;0
şampiyon kim oldu;78630;1
şampiyon kim oldu;5273;1
şampiyon kim oldu;95182;1
şampiyon kim oldu;41918;1
şampiyon kim oldu;41814;0
şampiyon kim oldu;41852;0
şampiyon kim oldu;41692;0
süper lig şampiyonu;78473;1
süper lig şampiyonu;91699;0
süper lig şampiyonu;27108;0
süper lig şampiyonu;92345;1
süper lig şampiyonu;68209;0
süper lig şampiyonu;5314;1
süper lig şampiyonu;63292;0
süper lig şampiyonu;8408;1
süper lig şampiyonu;70433;0
süper lig şampiyonu;74691;0
